component	expected_path	filename	file_type	required_by_rule	required_in_current_config	public_source_exists	historical_asus_source	donor_objects	stock_final_elf	classification
shared	release/src/router/shared/prebuild/RT-AXE7800/	amas_dwb.o	ELF32-ARM-relocatable	shared/Makefile:460	yes	no	no	RT-AX58U_V2,TUF-AX3000_V2,GT-AX6000	/usr/lib/libshared.so	DONOR-ONLY
shared	release/src/router/shared/prebuild/RT-AXE7800/	amas_utils.o	ELF32-ARM-relocatable	shared/Makefile:462	yes	no	yes (386/5.02 era, unpublished since)	RT-AX58U_V2,TUF-AX3000_V2,GT-AX6000	/usr/lib/libshared.so	MODEL-PREBUILT-MISSING
shared	release/src/router/shared/prebuild/RT-AXE7800/	amas_wgn_shared.o	ELF32-ARM-relocatable	shared/Makefile:229	no	no	no	RT-AX58U_V2,TUF-AX3000_V2,GT-AX6000	/usr/lib/libshared.so	NOT-REQUIRED-CURRENT-CONFIG
shared	release/src/router/shared/prebuild/RT-AXE7800/	api-broadcom.o	ELF32-ARM-relocatable	shared/Makefile:327	yes	no	yes (386/5.02 era, unpublished since)	RT-AX58U_V2,TUF-AX3000_V2,GT-AX6000	/usr/lib/libshared.so	MODEL-PREBUILT-MISSING
shared	release/src/router/shared/prebuild/RT-AXE7800/	bcmutils.o	ELF32-ARM-relocatable	shared/Makefile:689-709 (prebuilt-preferred rule)	yes	no	no	RT-AX58U_V2,TUF-AX3000_V2,GT-AX6000	/usr/lib/libshared.so	DONOR-ONLY
shared	release/src/router/shared/prebuild/RT-AXE7800/	bcmwifi_channels.o	ELF32-ARM-relocatable	shared/Makefile:689-709 (prebuilt-preferred rule)	yes	no	no	RT-AX58U_V2,TUF-AX3000_V2,GT-AX6000	/usr/lib/libshared.so	DONOR-ONLY
shared	release/src/router/shared/prebuild/RT-AXE7800/	bcmxtlv.o	ELF32-ARM-relocatable	shared/Makefile:689-709 (prebuilt-preferred rule)	yes	no	no	RT-AX58U_V2,TUF-AX3000_V2,GT-AX6000	/usr/lib/libshared.so	DONOR-ONLY
shared	release/src/router/shared/prebuild/RT-AXE7800/	ethctl_cmd.o	ELF32-ARM-relocatable	shared/Makefile:438	yes	no	no	RT-AX58U_V2,TUF-AX3000_V2,GT-AX6000	/usr/lib/libshared.so	DONOR-ONLY
shared	release/src/router/shared/prebuild/RT-AXE7800/	ethswctl.o	ELF32-ARM-relocatable	shared/Makefile:437	yes	no	no	RT-AX58U_V2,TUF-AX3000_V2,GT-AX6000	/usr/lib/libshared.so	DONOR-ONLY
shared	release/src/router/shared/prebuild/RT-AXE7800/	notify_ahs.o	ELF32-ARM-relocatable	shared/Makefile:225	no	no	no	RT-AX58U_V2,TUF-AX3000_V2,GT-AX6000	/usr/lib/libshared.so	NOT-REQUIRED-CURRENT-CONFIG
